iter,seed,n_agents,estimator,p,snd_t,snd_des,reward_mean,metric_time_ms,scaling_ratio_mean,applied_snd,out_loc_norm_mean
99,0,50,full,1.0,nan,-1.0,0.4176666736602783,nan,1.0,nan,0.0002854536153824517
100,0,50,full,1.0,nan,-1.0,0.43191665410995483,nan,1.0,nan,0.0002894759255232876
101,0,50,full,1.0,nan,-1.0,0.4300000071525574,nan,1.0,nan,0.0003407762838631041
102,0,50,full,1.0,nan,-1.0,0.4221666753292084,nan,1.0,nan,0.0002843509095664895
103,0,50,full,1.0,nan,-1.0,0.421750009059906,nan,1.0,nan,0.00041033812923598346
104,0,50,full,1.0,nan,-1.0,0.41183334589004517,nan,1.0,nan,0.00032341537886100856
105,0,50,full,1.0,nan,-1.0,0.4274166524410248,nan,1.0,nan,0.00035952830183776785
106,0,50,full,1.0,nan,-1.0,0.42375001311302185,nan,1.0,nan,0.000294329373368614
107,0,50,full,1.0,nan,-1.0,0.4244166612625122,nan,1.0,nan,0.000344687680383989
108,0,50,full,1.0,nan,-1.0,0.41066667437553406,nan,1.0,nan,0.0004264088701650811
109,0,50,full,1.0,nan,-1.0,0.4167500138282776,nan,1.0,nan,0.00040254143322171227
110,0,50,full,1.0,nan,-1.0,0.41458332538604736,nan,1.0,nan,0.000465123469324748
111,0,50,full,1.0,nan,-1.0,0.4352499842643738,nan,1.0,nan,0.000447829372003778
112,0,50,full,1.0,nan,-1.0,0.4115833342075348,nan,1.0,nan,0.0006335361769069331
113,0,50,full,1.0,nan,-1.0,0.41458332538604736,nan,1.0,nan,0.0005522562127293053
114,0,50,full,1.0,nan,-1.0,0.41475000977516174,nan,1.0,nan,0.0005187362159766188
115,0,50,full,1.0,nan,-1.0,0.41624999046325684,nan,1.0,nan,0.0004802273610106635
116,0,50,full,1.0,nan,-1.0,0.42375001311302185,nan,1.0,nan,0.0005473996420968668
117,0,50,full,1.0,nan,-1.0,0.42149999737739563,nan,1.0,nan,0.00045086226040169734
118,0,50,full,1.0,nan,-1.0,0.4195833206176758,nan,1.0,nan,0.00047692943200538005
119,0,50,full,1.0,nan,-1.0,0.4177500009536743,nan,1.0,nan,0.0004378146835801157
