iter,elapsed_s,reward_per_step,episodes,policy_loss,value_loss,entropy,kl
184,23239.12,0.100819,0,0.224422,0.322805,1.459416,-0.086830
185,23365.34,0.117093,0,0.206448,0.246467,1.457466,-0.088203
186,23491.70,0.108501,0,0.222785,0.316646,1.455376,-0.087521
187,23617.94,0.102417,0,0.356239,0.309580,1.453223,-0.086456
188,23744.17,0.098290,0,0.307774,0.280535,1.451432,-0.086423
189,23870.31,0.107286,0,0.311761,0.259028,1.449873,-0.087025
190,23996.81,0.094872,0,0.812629,0.362046,1.448452,-0.085501
191,24123.22,0.097197,0,0.279901,0.298210,1.447066,-0.085643
192,24249.14,0.092993,0,0.202610,0.277270,1.445570,-0.084538
193,24375.28,0.100390,0,0.201732,0.259559,1.443800,-0.085171
194,24501.39,0.095119,0,0.281539,0.303968,1.441930,-0.084688
195,24627.71,0.113539,0,0.185329,0.294918,1.440167,-0.083609
196,24754.07,0.102483,0,0.299401,0.255845,1.438382,-0.084043
197,24880.36,0.109400,0,0.210453,0.253841,1.436772,-0.083430
198,25006.50,0.111885,0,0.292584,0.276243,1.435095,-0.082192
199,25133.05,0.110267,0,0.722520,0.317393,1.433622,-0.082426
200,25259.44,0.106957,0,0.200809,0.301527,1.432252,-0.082487
201,25387.63,0.109289,0,0.205941,0.244708,1.430512,-0.082471
202,25513.83,0.096925,0,0.197493,0.315811,1.428467,-0.081140
203,25640.18,0.096457,0,0.174903,0.314008,1.426366,-0.080615
204,25766.19,0.085782,0,0.199457,0.229798,1.424335,-0.080736
205,25892.67,0.086150,0,0.177423,0.310557,1.422283,-0.080523
206,26019.24,0.084189,0,0.211961,0.280544,1.420286,-0.080303
207,26145.48,0.087255,0,0.244600,0.271726,1.418514,-0.079433
208,26271.75,0.098466,0,0.176038,0.338079,1.416795,-0.077712
209,26398.07,0.086484,0,0.254453,0.261888,1.415162,-0.078337
210,26524.73,0.076835,0,0.204288,0.285575,1.413448,-0.078548
211,26651.14,0.070785,0,0.154784,0.258002,1.411526,-0.078488
212,26777.65,0.060332,0,0.205394,0.336525,1.409582,-0.078127
213,26903.68,0.069226,0,0.220292,0.311146,1.407702,-0.077315
214,27030.09,0.081114,0,0.184217,0.277850,1.406024,-0.076576
215,27156.57,0.080850,0,0.135488,0.270731,1.404349,-0.076641
216,27282.62,0.073407,0,0.230501,0.254488,1.402659,-0.076088
217,27409.06,0.085070,0,0.170737,0.237140,1.400781,-0.075893
218,27535.67,0.080163,0,0.315299,0.235426,1.398916,-0.074757
219,27662.08,0.090894,0,0.178522,0.298144,1.397299,-0.075247
220,27788.28,0.090590,0,0.152486,0.253561,1.395484,-0.074613
221,27914.38,0.086836,0,0.206160,0.220276,1.393607,-0.073888
222,28040.76,0.081684,0,0.194998,0.251499,1.391744,-0.073993
223,28166.95,0.094463,0,0.238759,0.304675,1.390045,-0.073657
224,28293.40,0.093963,0,0.179174,0.251984,1.388517,-0.072957
225,28419.84,0.088819,0,1.085428,0.225617,1.386983,-0.072850
226,28547.25,0.094409,0,0.196106,0.274423,1.385734,-0.073473
227,28673.39,0.102239,0,0.165201,0.265989,1.384357,-0.072905
228,28800.47,0.095773,0,0.157055,0.226496,1.382645,-0.072344
229,28926.85,0.100394,0,0.232571,0.187680,1.380801,-0.072293
230,29052.98,0.106910,0,0.141055,0.250256,1.378915,-0.072759
231,29179.20,0.102681,0,0.193017,0.280719,1.377130,-0.071838
232,29305.33,0.103213,0,0.185032,0.276438,1.375373,-0.072309
233,29431.31,0.103791,0,0.149164,0.233292,1.373427,-0.072100
234,29557.42,0.091738,0,0.190429,0.211145,1.371444,-0.071412
235,29684.05,0.098770,0,0.395839,0.251798,1.369453,-0.070879
236,29810.25,0.088938,0,0.199590,0.222355,1.367734,-0.070835
237,29936.35,0.091094,0,0.177675,0.210770,1.365803,-0.070380
238,30062.50,0.087304,0,0.174881,0.271964,1.363870,-0.071342
239,30188.74,0.079694,0,0.178200,0.283654,1.362020,-0.069219
240,30314.70,0.088401,0,1.294208,0.281528,1.360390,-0.069583
241,30440.60,0.074491,0,0.187815,0.316869,1.358880,-0.069489
242,30566.37,0.083441,0,0.156325,0.233295,1.357289,-0.067865
243,30692.47,0.090111,0,0.138662,0.256872,1.355494,-0.068863
244,30818.50,0.094386,0,0.175212,0.245629,1.353761,-0.068861
245,30944.44,0.098090,0,0.143694,0.229446,1.352168,-0.067653
246,31070.59,0.116301,0,0.176717,0.286857,1.350415,-0.067813
247,31196.96,0.115853,0,0.156830,0.263905,1.348474,-0.067854
248,31323.02,0.112888,0,0.269659,0.264872,1.346602,-0.066607
249,31449.49,0.124331,0,0.446415,0.287457,1.344991,-0.067267
250,31576.00,0.111958,0,0.193128,0.238354,1.343627,-0.067063
251,31704.26,0.109285,0,0.166654,0.248406,1.342131,-0.066529
252,31830.31,0.115348,0,0.176502,0.260868,1.340430,-0.065427
253,31956.54,0.113259,0,0.137003,0.251587,1.338810,-0.066234
254,32082.80,0.106086,0,0.149054,0.262936,1.337146,-0.066485
255,32209.10,0.117145,0,0.164347,0.283918,1.335391,-0.065643
256,32335.61,0.109016,0,0.136087,0.269822,1.333531,-0.065024
257,32462.26,0.115642,0,0.155150,0.261110,1.331652,-0.063598
258,32588.72,0.112418,0,0.176386,0.249917,1.329841,-0.063981
259,32714.84,0.110689,0,0.123310,0.249734,1.328264,-0.063060
260,32841.09,0.120069,0,0.214767,0.214647,1.326714,-0.063679
261,32967.48,0.116717,0,0.126696,0.247246,1.325243,-0.062531
262,33093.82,0.118274,0,0.153158,0.213830,1.323677,-0.061826
263,33220.08,0.126926,0,0.143155,0.249312,1.321984,-0.061940
264,33346.48,0.125248,0,0.235758,0.246069,1.320286,-0.062165
265,33473.33,0.121835,0,0.227054,0.243016,1.318772,-0.061499
266,33599.42,0.113309,0,0.169079,0.225852,1.317305,-0.063042
267,33725.58,0.110924,0,0.144817,0.262192,1.315718,-0.061887
268,33851.86,0.118131,0,0.241186,0.251660,1.313997,-0.062402
269,33977.88,0.115788,0,0.176680,0.321644,1.312375,-0.060677
270,34104.66,0.125497,0,0.126208,0.275047,1.310751,-0.061527
271,34230.71,0.130404,0,0.155510,0.285584,1.309058,-0.061420
272,34356.75,0.129259,0,0.547440,0.247787,1.307396,-0.061599
273,34482.96,0.115166,0,0.145552,0.274210,1.306095,-0.061096
274,34609.29,0.119580,0,0.141733,0.218206,1.304560,-0.060485
275,34735.30,0.123936,0,0.248086,0.289224,1.302825,-0.060499
276,34863.12,0.120079,0,0.155789,0.246290,1.301054,-0.060807
277,34989.20,0.116233,0,0.193236,0.242837,1.299199,-0.060710
278,35115.19,0.120739,0,0.114485,0.211817,1.297303,-0.059070
279,35241.41,0.129694,0,0.163912,0.273666,1.295551,-0.058923
280,35367.69,0.132676,0,0.182158,0.225793,1.293879,-0.058864
281,35493.64,0.131787,0,0.117316,0.285277,1.292237,-0.059354
282,35619.85,0.134011,0,0.145185,0.228018,1.290587,-0.059231
