n,d,graph_family,graph_seed,num_edges,n_pairs,edge_fraction,SND,SND_G_u,ratio,ratio_reciprocal,abs_distortion,lower_bound,pi_G,upper_bound,lambda_2,spectral_gap,d_max,is_ramanujan,ramanujan_bound,time_full_ms,time_graph_ms,data_source,D_nuclear_norm,D_op_norm,D_fro_norm,D_max_entry,D_nuclear_over_n_snd,D_nuclear_over_n_dmax,D_stable_rank,diagnostic_SND_recomputed,spectral_rel_bound,spectral_abs_bound
50,12,random_regular,1558,300,1225,0.2448979591836734,0.0046265386044979,0.0046268282458186,0.9999373995952914,1.0000626043237646,2.896413207054138e-07,0.2448979591836734,22.29445571331981,5.45986670530281,5.544155753126379,0.5379870205728017,12,True,6.6332495807108,148.9426129963249,36.44864099333063,synthetic,0.4545067778809104,0.22725338894045524,0.22958406569263803,0.005204753950238228,1.9636776412600445,1.7465062987659852,1.0206168831991127,0.004629138391464949,0.9473196115763924,0.004382810753756136
50,12,random_regular,11558,300,1225,0.2448979591836734,0.0046265386044979,0.0046279253438115,0.9997003540008575,1.0002997358137795,1.3867393136024475e-06,0.2448979591836734,22.138902062177927,5.421771933594594,5.0995259351428786,0.5750395054047601,12,True,6.6332495807108,148.71281580417417,36.463910702150315,synthetic,0.4545067778809104,0.22725338894045524,0.22958406569263803,0.005204753950238228,1.9636776412600445,1.7465062987659852,1.0206168831991127,0.004629138391464949,0.8745604755587488,0.004046187802140593
50,12,random_regular,21558,300,1225,0.2448979591836734,0.0046265386044979,0.0046269358135759,0.9999141528877692,1.0000858544825904,3.972090780735016e-07,0.2448979591836734,25.587818421870143,6.266404511478403,5.455439895969565,0.5453800086692029,12,True,6.6332495807108,148.93573109875433,36.44503939431161,synthetic,0.4545067778809104,0.22725338894045524,0.22958406569263803,0.005204753950238228,1.9636776412600445,1.7465062987659852,1.0206168831991127,0.004629138391464949,0.9328021661493878,0.004315645232049407
50,12,random_regular,31558,300,1225,0.2448979591836734,0.0046265386044979,0.0046267644502222,0.999951187114284,1.0000488152685305,2.2584572434425354e-07,0.2448979591836734,24.327092162196525,5.957655223395068,5.270840871586664,0.5607632607011113,12,True,6.6332495807108,149.15420489851385,36.50065989349969,synthetic,0.4545067778809104,0.22725338894045524,0.22958406569263803,0.005204753950238228,1.9636776412600445,1.7465062987659852,1.0206168831991127,0.004629138391464949,0.9025944180844611,0.004175887919472076
50,12,random_regular,41558,300,1225,0.2448979591836734,0.0046265386044979,0.0046264575794339,1.0000175134133622,0.999982486893352,8.102506399154663e-08,0.2448979591836734,23.564074898034846,5.770793852579962,5.52687586720061,0.5394270110666157,12,True,6.6332495807108,148.70224290061742,36.395673506194726,synthetic,0.4545067778809104,0.22725338894045524,0.22958406569263803,0.005204753950238228,1.9636776412600445,1.7465062987659852,1.0206168831991127,0.004629138391464949,0.9444919344400627,0.00436972839632385
50,12,bernoulli,1373,287,1225,0.2342857142857143,0.0046265386044979,0.0046126749366521,1.0030055592549056,0.9970034470625084,1.3863667845726011e-05,0.2342857142857143,41.21423195540843,9.655905772409977,4.900566665410688,0.7117313726229006,17,True,8.0,148.73780810157768,34.857513912720606,synthetic,0.4545067778809104,0.22725338894045524,0.22958406569263803,0.005204753950238228,1.9636776412600445,1.7465062987659852,1.0206168831991127,0.004629138391464949,,
50,12,bernoulli,11373,279,1225,0.2277551020408163,0.0046265386044979,0.0046491753309965,0.9951310232703674,1.0048927996573067,2.263672649860382e-05,0.2277551020408163,56.04999999999998,12.765673469387751,5.405256527726141,0.6621714670171162,16,True,7.745966692414834,148.5114781127777,33.81887110299431,synthetic,0.4545067778809104,0.22725338894045524,0.22958406569263803,0.005204753950238228,1.9636776412600445,1.7465062987659852,1.0206168831991127,0.004629138391464949,,
50,12,bernoulli,21373,271,1225,0.2212244897959183,0.0046265386044979,0.004622162785381,1.0009467038094526,0.9990541915909712,4.375819116830826e-06,0.2212244897959183,28.41875966972023,6.286925608566679,5.20282098272236,0.6939517068986847,17,True,8.0,147.9939520941116,32.788624201202765,synthetic,0.4545067778809104,0.22725338894045524,0.22958406569263803,0.005204753950238228,1.9636776412600445,1.7465062987659852,1.0206168831991127,0.004629138391464949,,
50,12,bernoulli,31373,300,1225,0.2448979591836734,0.0046265386044979,0.0046304138377308,0.9991630913847488,1.0008376096179563,3.875233232975006e-06,0.2448979591836734,24.310365198271704,5.95355882406654,5.041800080532697,0.7346421010245949,19,True,8.48528137423857,148.06962470174767,36.20604989118874,synthetic,0.4545067778809104,0.22725338894045524,0.22958406569263803,0.005204753950238228,1.9636776412600445,1.7465062987659852,1.0206168831991127,0.004629138391464949,,
50,12,bernoulli,41373,308,1225,0.2514285714285714,0.0046265386044979,0.0046648872084915,0.991779307348772,1.0082888325964408,3.834860399365425e-05,0.2514285714285714,25.307486025607083,6.363025057866924,4.885069634481906,0.7557465182759047,20,True,8.717797887081348,148.0087044998072,37.13822439312935,synthetic,0.4545067778809104,0.22725338894045524,0.22958406569263803,0.005204753950238228,1.9636776412600445,1.7465062987659852,1.0206168831991127,0.004629138391464949,,
50,12,uniform,2231,300,1225,0.2448979591836734,0.0046265386044979,0.0046298592351377,0.9992827793522122,1.0007177354224523,3.3206306397914886e-06,0.2448979591836734,23.64275539275539,5.790062545164585,5.258380766331263,0.7078677352038187,18,True,8.246211251235321,148.28729311120696,36.402061505941674,synthetic,0.4545067778809104,0.22725338894045524,0.22958406569263803,0.005204753950238228,1.9636776412600445,1.7465062987659852,1.0206168831991127,0.004629138391464949,,
50,12,uniform,12231,300,1225,0.2448979591836734,0.0046265386044979,0.0046268082223832,0.999941727023816,1.0000582763721215,2.696178853511811e-07,0.2448979591836734,26.621654896697336,6.5195889542932255,5.430231609952834,0.7141983363182719,19,True,8.48528137423857,149.193406914128,37.024996703257784,synthetic,0.4545067778809104,0.22725338894045524,0.22958406569263803,0.005204753950238228,1.9636776412600445,1.7465062987659852,1.0206168831991127,0.004629138391464949,,
50,12,uniform,22231,300,1225,0.2448979591836734,0.0046265386044979,0.0046426090411841,0.9965384902015832,1.0034735334685534,1.607043668627739e-05,0.2448979591836734,25.483498086121777,6.240856674152272,5.230581437081296,0.7094121423843724,18,True,8.246211251235321,150.48562231240794,36.84556899825111,synthetic,0.4545067778809104,0.22725338894045524,0.22958406569263803,0.005204753950238228,1.9636776412600445,1.7465062987659852,1.0206168831991127,0.004629138391464949,,
50,12,uniform,32231,300,1225,0.2448979591836734,0.0046265386044979,0.0046345312148332,0.9982754220513675,1.0017275572557809,7.992610335350037e-06,0.2448979591836734,23.563072860269656,5.770548455576242,5.197128693876293,0.7264669108486161,19,True,8.48528137423857,150.45735960593447,36.782853101613,synthetic,0.4545067778809104,0.22725338894045524,0.22958406569263803,0.005204753950238228,1.9636776412600445,1.7465062987659852,1.0206168831991127,0.004629138391464949,,
