n,d,graph_family,graph_seed,num_edges,n_pairs,edge_fraction,SND,SND_G_u,ratio,ratio_reciprocal,abs_distortion,lower_bound,pi_G,upper_bound,lambda_2,spectral_gap,d_max,is_ramanujan,ramanujan_bound,time_full_ms,time_graph_ms,data_source
50,12,bernoulli,1787,287,1225,0.2342857142857143,0.004629138391464949,0.004620219115167856,1.0019304877268291,0.998073231875388,8.919276297092438e-06,0.2342857142857143,28.72678969867321,6.730276443689152,5.631867268775729,0.7318158443440128,21,True,8.94427190999916,138.20708299999973,32.485250000000136,synthetic
50,12,bernoulli,11787,285,1225,0.23265306122448978,0.004629138391464949,0.004664029460400343,0.9925191148058488,1.0075372706505654,3.489106893539429e-05,0.23265306122448978,27.126069946628412,6.310963212072733,4.799288606773725,0.7714624472964893,21,True,8.94427190999916,137.86154099999993,32.396750000000196,synthetic
50,12,uniform,1853,300,1225,0.24489795918367346,0.004629138391464949,0.004621441476047039,1.0016654793656488,0.9983372898438074,7.696915417909622e-06,0.24489795918367346,32.67860530782731,8.002923748855668,5.007004358255525,0.7615712210354512,21,True,8.94427190999916,138.79170800000028,34.077749999999796,synthetic
50,12,uniform,11853,300,1225,0.24489795918367346,0.004629138391464949,0.004644997417926788,0.9965857835785583,1.0034259132306522,1.5859026461839676e-05,0.24489795918367346,25.02521421231098,6.12862388872922,5.407734572477018,0.7153823909222622,19,True,8.48528137423857,139.15762500000017,33.75983299999996,synthetic
50,12,knn,2189,382,1225,0.31183673469387757,0.004629138391464949,0.004633413162082434,0.9990774035321375,1.0009234484381297,4.274770617485046e-06,0.31183673469387757,55.1364833727675,17.193580937467093,12.635249401510503,0.4735312749370624,24,False,9.591663046625438,139.92695799999976,43.31458299999991,synthetic
50,12,knn,12189,382,1225,0.31183673469387757,0.004629138391464949,0.004633413162082434,0.9990774035321375,1.0009234484381297,4.274770617485046e-06,0.31183673469387757,55.1364833727675,17.193580937467093,12.635249401510503,0.4735312749370624,24,False,9.591663046625438,139.12358400000002,42.86324999999991,synthetic
50,24,random_regular,3268,600,1225,0.4897959183673469,0.004629138391464949,0.004630258306860924,0.9997581311188805,1.000241927395828,1.119915395975113e-06,0.4897959183673469,7.746830946830944,3.7943661780396463,5.8765909337126585,0.7551420444286392,24,True,9.591663046625438,138.59616600000058,67.01758399999935,synthetic
50,24,random_regular,13268,600,1225,0.4897959183673469,0.004629138391464949,0.00462852418422699,1.000132700449109,0.9998673171579637,6.142072379589081e-07,0.4897959183673469,8.017865467865464,3.927117780179003,6.124576378513044,0.7448093175619566,24,True,9.591663046625438,137.43929199999982,67.85033400000006,synthetic
50,24,bernoulli,2987,631,1225,0.5151020408163265,0.004629138391464949,0.0046283346600830555,1.000173654551998,0.9998263755986697,8.03731381893158e-07,0.5151020408163265,8.124403374403371,4.184896758570226,5.632291739765402,0.8390773788638457,35,True,11.661903789690601,137.85291700000002,71.04004199999991,synthetic
50,24,bernoulli,12987,627,1225,0.5118367346938776,0.004629138391464949,0.004632767289876938,0.99921668882011,1.0007839252372925,3.628898411989212e-06,0.5118367346938776,7.82014456132103,4.002637257100641,5.694274030018663,0.8163137409671399,31,True,10.954451150103322,138.42179199999993,70.47070800000022,synthetic
50,24,uniform,3053,600,1225,0.4897959183673469,0.004629138391464949,0.004636765457689762,0.9983550890605941,1.0016476211294256,7.627066224813461e-06,0.4897959183673469,8.903139258402415,4.3607212694215916,5.846497914794533,0.8172969401626708,32,True,11.135528725660043,137.3720830000007,67.26979200000028,synthetic
50,24,uniform,13053,600,1225,0.4897959183673469,0.004629138391464949,0.004631040617823601,0.9995892442939648,1.0004109244956165,1.9022263586521149e-06,0.4897959183673469,8.503788694965161,4.165120993452324,5.61581948367041,0.8128060172109863,30,True,10.770329614269007,136.82837499999945,68.59033400000047,synthetic
50,24,knn,3389,746,1225,0.6089795918367347,0.004629138391464949,0.004637690261006355,0.9981560067490254,1.0018473998438184,8.551869541406631e-06,0.6089795918367347,9.022600232584752,5.49457940694549,13.814265758287862,0.7180762090145334,49,True,13.856406460551018,138.41000000000037,84.25533399999985,synthetic
50,24,knn,13389,746,1225,0.6089795918367347,0.004629138391464949,0.004637690261006355,0.9981560067490254,1.0018473998438184,8.551869541406631e-06,0.6089795918367347,9.022600232584752,5.49457940694549,13.814265758287862,0.7180762090145334,49,True,13.856406460551018,139.89858299999992,82.94137499999988,synthetic
