n,d,graph_family,graph_seed,num_edges,n_pairs,edge_fraction,SND,SND_G_u,ratio,ratio_reciprocal,abs_distortion,lower_bound,pi_G,upper_bound,lambda_2,spectral_gap,d_max,is_ramanujan,ramanujan_bound,time_full_ms,time_graph_ms,data_source
100,14,bernoulli,42288,669,4950,0.13515151515151516,0.0046733589842915535,0.004679039586335421,0.9987859470006502,1.0012155287156328,5.680602043867111e-06,0.13515151515151516,125.27377020640185,16.930939852137946,6.574156120345373,0.7141671252023751,23,True,9.38083151964686,615.3549451031722,83.36700680665672,synthetic
100,14,uniform,2409,700,4950,0.1414141414141414,0.0046733589842915535,0.004675368778407574,0.9995701314246478,1.0004300534418125,2.0097941160202026e-06,0.1414141414141414,48.55894291933318,6.866921220915802,6.097437942619454,0.7096458122562165,21,True,8.94427190999916,612.8263479913585,87.22868168842979,synthetic
100,14,uniform,12409,700,4950,0.1414141414141414,0.0046733589842915535,0.004675149917602539,0.9996169249451783,1.000383221857556,1.7909333109855652e-06,0.1414141414141414,48.84821449450599,6.907828312354382,6.45569860422674,0.70655915435333,22,True,9.16515138991168,612.129991396796,87.04205849790014,synthetic
100,14,uniform,22409,700,4950,0.1414141414141414,0.0046733589842915535,0.004677796736359596,0.9990513157543702,1.000949585102056,4.437752068042755e-06,0.1414141414141414,48.99337807366805,6.928356495266188,6.73627919658,0.7193217001425001,24,True,9.591663046625438,615.2109608054161,87.19279811484739,synthetic
100,14,uniform,32409,700,4950,0.1414141414141414,0.0046733589842915535,0.004683878738433123,0.9977540507068959,1.002251004936049,1.0519754141569138e-05,0.1414141414141414,54.02700832952313,7.64018299609418,6.323636554307234,0.7125619748042167,22,True,9.16515138991168,615.1097824040335,87.18440029770136,synthetic
100,14,uniform,42409,700,4950,0.1414141414141414,0.0046733589842915535,0.004675388801842928,0.9995658505340617,1.0004343380335636,2.0298175513744354e-06,0.1414141414141414,52.08314550055618,7.365293303108955,6.506917435607747,0.6901467887805834,21,True,8.94427190999916,613.2922705030069,87.0668264979031,synthetic
100,14,knn,2210,887,4950,0.17919191919191918,0.0046733589842915535,0.004659928847104311,1.0028820476938372,0.9971262346350056,1.3430137187242508e-05,0.17919191919191918,287.2213511366718,51.467745143076336,16.702718044947524,0.35758776750201826,26,False,10.0,615.731014002813,110.28578410041519,synthetic
100,14,knn,12210,887,4950,0.17919191919191918,0.0046733589842915535,0.004659928847104311,1.0028820476938372,0.9971262346350056,1.3430137187242508e-05,0.17919191919191918,287.2213511366718,51.467745143076336,16.702718044947524,0.35758776750201826,26,False,10.0,613.8750357902609,110.17671009758487,synthetic
100,14,knn,22210,887,4950,0.17919191919191918,0.0046733589842915535,0.004659928847104311,1.0028820476938372,0.9971262346350056,1.3430137187242508e-05,0.17919191919191918,287.2213511366718,51.467745143076336,16.702718044947524,0.35758776750201826,26,False,10.0,613.359040801879,110.23110640235245,synthetic
100,14,knn,32210,887,4950,0.17919191919191918,0.0046733589842915535,0.004659928847104311,1.0028820476938372,0.9971262346350056,1.3430137187242508e-05,0.17919191919191918,287.2213511366718,51.467745143076336,16.702718044947524,0.35758776750201826,26,False,10.0,613.9909588906448,110.42435378185473,synthetic
100,14,knn,42210,887,4950,0.17919191919191918,0.0046733589842915535,0.004659928847104311,1.0028820476938372,0.9971262346350056,1.3430137187242508e-05,0.17919191919191918,287.2213511366718,51.467745143076336,16.702718044947524,0.35758776750201826,26,False,10.0,612.8925022960175,110.3197465010453,synthetic
100,28,random_regular,2890,1400,4950,0.2828282828282828,0.0046733589842915535,0.0046738372184336185,0.9998976784770811,1.0001023319936844,4.782341420650482e-07,0.2828282828282828,15.470707070707064,4.375553514947453,8.47660346550844,0.6972641619461272,28,True,10.392304845413264,616.9903878937475,174.14712278405204,synthetic
100,28,random_regular,12890,1400,4950,0.2828282828282828,0.0046733589842915535,0.004672805313020945,1.000118487981741,0.9998815260559974,5.53671270608902e-07,0.2828282828282828,15.84213564213563,4.480604019997956,8.599838813120591,0.6928628995314075,28,True,10.392304845413264,617.6277213031426,173.7626547110267,synthetic
100,28,random_regular,22890,1400,4950,0.2828282828282828,0.0046733589842915535,0.004674679599702358,0.9997174960587911,1.0002825837722382,1.3206154108047485e-06,0.2828282828282828,15.662265512265511,4.42973166003469,8.43209312665456,0.6988538169051943,28,True,10.392304845413264,617.3042215930764,173.60766509664245,synthetic
100,28,random_regular,32890,1400,4950,0.2828282828282828,0.0046733589842915535,0.004672151990234852,1.00025833792634,0.9997417287949077,1.2069940567016602e-06,0.2828282828282828,16.445260295260294,4.651184729972608,8.464882726433359,0.6976827597702372,28,True,10.392304845413264,617.8740428993478,173.81276281084865,synthetic
100,28,random_regular,42890,1400,4950,0.2828282828282828,0.0046733589842915535,0.0046740747056901455,0.9998468742064134,1.0001531492446862,7.157213985919952e-07,0.2828282828282828,17.181313131313132,4.85936128966432,8.11840096958282,0.710057108229185,28,True,10.392304845413264,618.1949497084133,174.3080171989277,synthetic
100,28,bernoulli,3688,1412,4950,0.28525252525252526,0.0046733589842915535,0.004669878166168928,1.0007453766455499,0.9992551785269813,3.480818122625351e-06,0.28525252525252526,16.92375957375957,4.827545155181517,8.356276589486749,0.7800979844871908,38,True,12.165525060596439,618.2043717068154,175.47837121528573,synthetic
100,28,bernoulli,13688,1415,4950,0.28585858585858587,0.0046733589842915535,0.004670284688472748,1.0006582673271276,0.9993421657036964,3.0742958188056946e-06,0.28585858585858587,18.061980403109434,5.163172175838353,8.360471388940802,0.7856289387451076,39,True,12.328828005937952,618.4189679042902,175.80336660612375,synthetic
